keys,en,it,de,fr
The Last Letter Has No Orders,The Last Letter Has No Orders,L'ultima lettera non dà ordini,Der letzte Brief enthält keine Befehle,La dernière lettre ne donne aucun ordre
"Commander, when the Crown That Waits yielded, the tower did not fall. Its crown opened into a light that now runs along every road your company restored, all the way home to Emberrest. Caravans are returning. The Worldroot has put out new leaves. The empty throne will remain empty. I have hung my old lantern above the city gate, where anyone may tend it. Your heroes will receive no final order from me. They have given this story its ending—and everyone else a road home.","Commander, when the Crown That Waits yielded, the tower did not fall. Its crown opened into a light that now runs along every road your company restored, all the way home to Emberrest. Caravans are returning. The Worldroot has put out new leaves. The empty throne will remain empty. I have hung my old lantern above the city gate, where anyone may tend it. Your heroes will receive no final order from me. They have given this story its ending—and everyone else a road home.","Comandante, quando la Corona che attende ha ceduto, la torre non è crollata. La sua corona si è dischiusa in una luce che ora percorre ogni via restaurata dalla tua compagnia, fino a casa, a Emberrest. Le carovane stanno tornando. La Radice del Mondo è tornata a germogliare. Il trono vuoto resterà vuoto. Ho appeso la mia vecchia lanterna sopra la porta della città, dove chiunque potrà prendersene cura. I tuoi eroi non riceveranno da me un ultimo ordine. Hanno dato un finale a questa storia—e a tutti gli altri una via per tornare a casa.","Kommandant, als die Krone, die wartet, nachgab, fiel der Turm nicht. Ihre Krone öffnete sich zu einem Licht, das nun entlang jeder Straße läuft, die deine Kompanie wiederhergestellt hat, den ganzen Weg heim nach Emberrest. Die Karawanen kehren zurück. Die Weltwurzel hat neue Blätter getrieben. Der leere Thron wird leer bleiben. Ich habe meine alte Laterne über dem Stadttor aufgehängt, wo jeder sie hüten darf. Deine Helden werden von mir keinen letzten Befehl erhalten. Sie haben dieser Geschichte ihr Ende gegeben—und allen anderen eine Straße nach Hause.","Commandant, lorsque la Couronne qui attend a cédé, la tour n'est pas tombée. Sa couronne s'est ouverte sur une lumière qui parcourt désormais chaque route restaurée par ta compagnie, jusqu'à Emberrest. Les caravanes reviennent. La Racine du Monde a poussé de nouvelles feuilles. Le trône vide restera vide. J'ai accroché ma vieille lanterne au-dessus de la porte de la ville, où chacun pourra l'entretenir. Tes héros ne recevront de moi aucun ordre final. Ils ont donné à cette histoire sa fin—et à tous les autres une route pour rentrer."
"The Zenith is conquered and the story is complete. The Tower, Echo Descent, dungeons, and Raids remain open for continued challenges, builds, and rewards.","The Zenith is conquered and the story is complete. The Tower, Echo Descent, dungeons, and Raids remain open for continued challenges, builds, and rewards.","Lo Zenit è stato conquistato e la storia è giunta al termine. La Torre, la Discesa dell'Eco, i dungeon e i raid restano disponibili per affrontare nuove sfide, perfezionare le configurazioni e ottenere altre ricompense.","Der Zenit ist bezwungen und die Geschichte ist vollendet. Der Turm, der Echo-Abstieg, die Verliese und die Raids bleiben für weitere Herausforderungen, Aufstellungen und Belohnungen offen.","Le Zénith est conquis et l'histoire est achevée. La Tour, la Descente d'Écho, les donjons et les Raids restent ouverts pour de nouveaux défis, de nouvelles configurations et de nouvelles récompenses."
Eira,Eira,Eira,Eira,Eira
"Eira, Former Keeper of the Last Lantern","Eira, Former Keeper of the Last Lantern","Eira, ex Custode dell'Ultima Lanterna","Eira, ehemalige Hüterin der Letzten Laterne","Eira, ancienne Gardienne de la Dernière Lanterne"
"Eira, Keeper of the Last Lantern","Eira, Keeper of the Last Lantern","Eira, Custode dell'Ultima Lanterna","Eira, Hüterin der Letzten Laterne","Eira, Gardienne de la Dernière Lanterne"
A Bell Under Black Water,A Bell Under Black Water,Una campana sotto acque nere,Eine Glocke unter schwarzem Wasser,Une cloche sous des eaux noires
A Bell Without Air,A Bell Without Air,Una campana senz'aria,Eine Glocke ohne Luft,Une cloche sans air
A Constellation Refused to Be Eaten,A Constellation Refused to Be Eaten,Una costellazione ha rifiutato di farsi divorare,"Ein Sternbild weigerte sich, gefressen zu werden",Une constellation a refusé de se faire dévorer
A Crown Without a King,A Crown Without a King,Una corona senza re,Eine Krone ohne König,Une couronne sans roi
A Letter Sealed in Green Wax,A Letter Sealed in Green Wax,Una lettera sigillata con cera verde,"Ein Brief, versiegelt mit grünem Wachs",Une lettre scellée à la cire verte
