keys,en,it,de,fr
Melee,Melee,Mischia,Nahkampf,Mêlée
Ranged,Ranged,Distanza,Fernkampf,À distance
Magic,Magic,Magia,Magie,Magie
Heavy,Heavy,Pesante,Schwer,Lourde
Medium,Medium,Media,Mittel,Moyenne
Light,Light,Leggera,Leicht,Légère
Guardian,Guardian,Guardiano,Wächter,Gardien
A heavily protected frontline hero who controls enemy attention and intercepts attacks aimed at vulnerable allies.,A heavily protected frontline hero who controls enemy attention and intercepts attacks aimed at vulnerable allies.,Un eroe di prima linea pesantemente protetto che attira l'attenzione dei nemici e intercetta gli attacchi diretti agli alleati più vulnerabili.,"Ein schwer geschützter Frontheld, der die Aufmerksamkeit der Gegner lenkt und Angriffe auf verwundbare Verbündete abfängt.",Un héros de première ligne lourdement protégé qui attire l'attention des ennemis et intercepte les attaques visant les alliés vulnérables.
Shield Intercept,Shield Intercept,Intercettazione con lo scudo,Schildabfang,Interception au bouclier
Grants the weakest ally +30 Defense and +36 Magic Defense for 3 turns; the Guardian gains +6 Threat and Intercept to pull enemy attacks onto itself.,Grants the weakest ally +30 Defense and +36 Magic Defense for 3 turns; the Guardian gains +6 Threat and Intercept to pull enemy attacks onto itself.,Concede all'alleato più debole +30 Difesa e +36 Difesa magica per 3 turni; il Guardiano ottiene +6 Minaccia e Intercettazione per attirare su di sé gli attacchi nemici.,"Gewährt dem schwächsten Verbündeten +30 Verteidigung und +36 Magieverteidigung für 3 Züge; der Wächter erhält +6 Bedrohung und Abfangen, um gegnerische Angriffe auf sich zu ziehen.",Accorde à l'allié le plus faible +30 Défense et +36 Défense magique pendant 3 tours ; le Gardien gagne +6 Menace et Interception pour attirer les attaques ennemies sur lui.
Vigilant Presence,Vigilant Presence,Presenza vigile,Wachsame Präsenz,Présence vigilante
"Always +9 Threat, +17 Defense, and +25 Magic Defense; +9 more Defense and Magic Defense per living ally.","Always +9 Threat, +17 Defense, and +25 Magic Defense; +9 more Defense and Magic Defense per living ally.","Sempre +9 Minaccia, +17 Difesa e +25 Difesa magica; +9 Difesa e Difesa magica aggiuntive per ogni alleato in vita.","Immer +9 Bedrohung, +17 Verteidigung und +25 Magieverteidigung; +9 Verteidigung und Magieverteidigung zusätzlich pro lebendem Verbündeten.","Toujours +9 Menace, +17 Défense et +25 Défense magique ; +9 Défense et Défense magique supplémentaires par allié en vie."
Knight,Knight,Cavaliere,Ritter,Chevalier
