keys,en,it,de,fr
EGG HATCHING,EGG HATCHING,SCHIUSA DELL'UOVO,EI SCHLÜPFT,ÉCLOSION DE L'ŒUF
A NEW COMPANION,A NEW COMPANION,UN NUOVO COMPAGNO,EIN NEUER BEGLEITER,UN NOUVEAU COMPAGNON
The egg is stirring...,The egg is stirring...,L'uovo si sta muovendo...,Das Ei regt sich...,L'œuf remue...
Tap to reveal,Tap to reveal,Tocca per rivelare,Zum Enthüllen tippen,Toucher pour révéler
Hatched!,Hatched!,Si è schiuso!,Geschlüpft!,Éclos !
Rare Species,Rare Species,Specie rara,Seltene Art,Espèce rare
Source breakdown,Source breakdown,Ripartizione delle fonti,Aufschlüsselung der Quellen,Répartition des sources
%s class and stored promotion base,%s class and stored promotion base,Classe %s e base delle promozioni memorizzata,Klasse %s und gespeicherte Beförderungsbasis,Classe %s et base de promotion enregistrée
Title,Title,Titolo,Titel,Titre
Ascension,Ascension,Ascensione,Aufstieg,Ascension
Echo Resonance,Echo Resonance,Risonanza dell'Eco,Echo-Resonanz,Résonance d'Écho
Combat-only and conditional effects,Combat-only and conditional effects,Effetti solo in combattimento e condizionali,Nur im Kampf wirkende und bedingte Effekte,Effets limités au combat et conditionnels
"These combat-only and conditional effects are listed separately and are not double-counted in unconditional totals. Companion, party, activity, enemy, and temporary status effects are excluded.","These combat-only and conditional effects are listed separately and are not double-counted in unconditional totals. Companion, party, activity, enemy, and temporary status effects are excluded.","Questi effetti solo in combattimento e condizionali sono elencati separatamente e non vengono conteggiati due volte nei totali incondizionati. Compagno, gruppo, attività, nemici e stati temporanei sono esclusi.","Diese reinen Kampf- und Bedingungseffekte werden separat aufgeführt und in den bedingungslosen Gesamtwerten nicht doppelt gezählt. Effekte von Begleitern, Gruppe, Aktivität, Gegnern und temporären Status sind ausgeschlossen.","Ces effets propres au combat et conditionnels sont listés séparément et ne sont pas comptés deux fois dans les totaux inconditionnels. Les effets de familier, de groupe, d'activité, d'ennemi et d'état temporaire sont exclus."
No combat-only or conditional effects from this hero's persistent build.,No combat-only or conditional effects from this hero's persistent build.,La configurazione permanente di questo eroe non fornisce effetti solo in combattimento o condizionali.,Aus der dauerhaften Konfiguration dieses Helden ergeben sich keine reinen Kampfeffekte oder bedingten Effekte.,La configuration permanente de ce héros ne fournit aucun effet propre au combat ni conditionnel.
Scope: Always active in combat; excluded from base totals.,Scope: Always active in combat; excluded from base totals.,Ambito: sempre attivo in combattimento; escluso dai totali base.,Geltung: im Kampf immer aktiv; nicht in den Basiswerten enthalten.,Portée : toujours actif en combat ; exclu des totaux de base.
Scope: Combat-only or conditional; excluded from base totals.,Scope: Combat-only or conditional; excluded from base totals.,Ambito: solo in combattimento o condizionale; escluso dai totali base.,Geltung: nur im Kampf oder bedingt; nicht in den Basiswerten enthalten.,Portée : uniquement en combat ou conditionnel ; exclu des totaux de base.
Trigger: %s,Trigger: %s,Attivazione: %s,Auslöser: %s,Déclencheur : %s
An action is completed,An action is completed,Viene completata un'azione,Eine Aktion wird abgeschlossen,Une action est achevée
An active skill is used,An active skill is used,Viene usata un'abilità attiva,Eine aktive Fähigkeit wird eingesetzt,Une compétence active est utilisée
A basic attack is used,A basic attack is used,Viene usato un attacco base,Ein Standardangriff wird eingesetzt,Une attaque de base est utilisée
A basic attack hits,A basic attack hits,Un attacco base va a segno,Ein Standardangriff trifft,Une attaque de base touche
A counter succeeds,A counter succeeds,Un contrattacco riesce,Ein Konter gelingt,Une riposte réussit
A critical hit lands,A critical hit lands,Un colpo critico va a segno,Ein kritischer Treffer gelingt,Un coup critique touche
Damage is dealt,Damage is dealt,Viene inflitto danno,Schaden wird verursacht,Des dégâts sont infligés
A critical hit lands during Dusk,A critical hit lands during Dusk,Un colpo critico va a segno durante il Crepuscolo,Ein kritischer Treffer gelingt während der Dämmerung,Un coup critique touche pendant le Crépuscule
The first physical or magical hit of the encounter is received,The first physical or magical hit of the encounter is received,Viene subito il primo colpo fisico o magico dello scontro,Der erste physische oder magische Treffer der Begegnung wird erlitten,Le premier coup physique ou magique de la rencontre est subi
The first direct hit of the encounter is received,The first direct hit of the encounter is received,Viene subito il primo colpo diretto dello scontro,Der erste direkte Treffer der Begegnung wird erlitten,Le premier coup direct de la rencontre est subi
Healing is performed,Healing is performed,Viene effettuata una cura,Eine Heilung wird gewirkt,Un soin est prodigué
An enemy is defeated,An enemy is defeated,Viene sconfitto un nemico,Ein Gegner wird besiegt,Un ennemi est vaincu
Lethal damage is received,Lethal damage is received,Viene subito danno letale,Tödlicher Schaden wird erlitten,Des dégâts létaux sont subis
The Health threshold is reached,The Health threshold is reached,Viene raggiunta la soglia di Salute,Die Lebensschwelle wird erreicht,Le seuil de Vie est atteint
A Magic hit lands,A Magic hit lands,Un colpo Magico va a segno,Ein Magie-Treffer gelingt,Un coup magique touche
A Magic sign is completed,A Magic sign is completed,Viene completato un segno Magico,Ein Magie-Zeichen wird vollendet,Un signe magique est complété
A matching Melee sign is active,A matching Melee sign is active,È attivo un segno da Mischia corrispondente,Ein passendes Nahkampf-Zeichen ist aktiv,Un signe de mêlée correspondant est actif
No Hero Walks Alone triggers,No Hero Walks Alone triggers,Si attiva No Hero Walks Alone,No Hero Walks Alone wird ausgelöst,No Hero Walks Alone se déclenche
The party hits with a new attack type,The party hits with a new attack type,Il gruppo colpisce con un nuovo tipo di attacco,Die Gruppe trifft mit einer neuen Angriffsart,Le groupe frappe avec un nouveau type d'attaque
The party completes all attack types,The party completes all attack types,Il gruppo completa tutti i tipi di attacco,Die Gruppe deckt alle Angriffsarten ab,Le groupe complète tous les types d'attaque
The required raid phase is active,The required raid phase is active,È attiva la fase raid richiesta,Die erforderliche Raid-Phase ist aktiv,La phase de raid requise est active
The raid Pressure threshold is reached,The raid Pressure threshold is reached,Viene raggiunta la soglia di Pressione del raid,Der Druck-Schwellenwert des Raids wird erreicht,Le seuil de Pression du raid est atteint
A Ranged critical hit lands,A Ranged critical hit lands,Un colpo critico a Distanza va a segno,Ein kritischer Fernkampftreffer gelingt,Un coup critique à distance touche
A matching Ranged sign is active,A matching Ranged sign is active,È attivo un segno a Distanza corrispondente,Ein passendes Fernkampf-Zeichen ist aktiv,Un signe à distance correspondant est actif
Road Stands triggers,Road Stands triggers,Si attiva Road Stands,Road Stands wird ausgelöst,Road Stands se déclenche
Sound Without Air triggers,Sound Without Air triggers,Si attiva Sound Without Air,Sound Without Air wird ausgelöst,Sound Without Air se déclenche
A harmful status is resisted,A harmful status is resisted,Viene resistito uno stato nocivo,Ein schädlicher Status wird abgewehrt,Un état néfaste est repoussé
An active skill is cast,An active skill is cast,Viene lanciata un'abilità attiva,Eine aktive Fähigkeit wird gewirkt,Une compétence active est lancée
An ally lands a critical hit,An ally lands a critical hit,Un alleato mette a segno un colpo critico,Ein Verbündeter landet einen kritischen Treffer,Un allié porte un coup critique
DoT ticks,DoT ticks,Impulsi DoT,DoT-Ticks,Ticks de DoT
A wave starts,A wave starts,Inizia un'ondata,Eine Welle beginnt,Une vague commence
An action ends,An action ends,Termina un'azione,Eine Aktion endet,Une action se termine
An ally uses a basic attack,An ally uses a basic attack,Un alleato usa un attacco base,Ein Verbündeter setzt einen Standardangriff ein,Un allié utilise une attaque de base
An ally defeats an enemy,An ally defeats an enemy,Un alleato sconfigge un nemico,Ein Verbündeter besiegt einen Gegner,Un allié vainc un ennemi
An ally takes damage,An ally takes damage,Un alleato subisce danno,Ein Verbündeter erleidet Schaden,Un allié subit des dégâts
Total Eclipse ends,Total Eclipse ends,Termina Eclissi Totale,Totale Finsternis endet,L'Éclipse totale prend fin
The hero is below half Health,The hero is below half Health,L'eroe è sotto metà Salute,Der Held hat weniger als halbes Leben,Le héros est sous la moitié de sa Vie
The target is below half Health,The target is below half Health,Il bersaglio è sotto metà Salute,Das Ziel hat weniger als halbes Leben,La cible est sous la moitié de sa Vie
The hero is at full Health,The hero is at full Health,L'eroe è a Salute piena,Der Held hat volles Leben,Le héros est à pleine Vie
The hero falls below 35% Health,The hero falls below 35% Health,L'eroe scende sotto il 35% di Salute,Der Held fällt unter 35% Leben,La Vie du héros passe sous 35%
A skill targets all enemies,A skill targets all enemies,Un'abilità prende di mira tutti i nemici,Eine Fähigkeit zielt auf alle Gegner,Une compétence cible tous les ennemis
Class passive,Class passive,Passiva di classe,Klassenpassiv,Passif de classe
Active raid set,Active raid set,Set raid attivo,Aktives Raid-Set,Set de raid actif
Equipment effect,Equipment effect,Effetto dell'equipaggiamento,Ausrüstungseffekt,Effet d'équipement
Combat effect,Combat effect,Effetto di combattimento,Kampfeffekt,Effet de combat
Hero unavailable,Hero unavailable,Eroe non disponibile,Held nicht verfügbar,Héros indisponible
This hero is no longer available after the save or account state changed.,This hero is no longer available after the save or account state changed.,Questo eroe non è più disponibile dopo la modifica del salvataggio o dello stato dell'account.,"Dieser Held ist nicht mehr verfügbar, nachdem sich der Speicherstand oder Kontostatus geändert hat.",Ce héros n'est plus disponible après la modification de la sauvegarde ou de l'état du compte.
