keys,en,it,de,fr
Melee,Melee,Mischia,Nahkampf,Mêlée
Ranged,Ranged,Distanza,Fernkampf,À distance
Magic,Magic,Magia,Magie,Magie
Ashen Monastery,Ashen Monastery,Monastero delle Ceneri,Aschenkloster,Monastère des Cendres
Crownless Citadel,Crownless Citadel,Cittadella Senza Corona,Kronlose Zitadelle,Citadelle Sans Couronne
Eclipse Throne,Eclipse Throne,Trono dell'Eclissi,Finsternisthron,Trône de l'Éclipse
Elemental Depths,Elemental Depths,Profondità Elementali,Elementare Tiefen,Profondeurs Élémentaires
Forest Edge,Forest Edge,Margine della Foresta,Waldrand,Lisière de la forêt
Ironroot Warrens,Ironroot Warrens,Cunicoli di Radiceferrea,Eisenwurzel-Gänge,Terriers de Racine de Fer
Lantern Vault,Lantern Vault,Cripta della Lanterna,Laternengruft,Crypte de la lanterne
Shattered Observatory,Shattered Observatory,Osservatorio Infranto,Zerschmettertes Observatorium,Observatoire Brisé
Slime Forest,Slime Forest,Foresta degli Slime,Slime-Wald,Forêt des slimes
Sunken Causeway,Sunken Causeway,Strada Sommersa,Versunkener Damm,Chaussée Engloutie
Umbral Menagerie,Umbral Menagerie,Serraglio Umbratile,Schattenmenagerie,Ménagerie Ombreuse
Worldroot Heart,Worldroot Heart,Cuore della Radice del Mondo,Weltwurzelherz,Cœur de la Racine du Monde
Hunt of the Broken Sky,Hunt of the Broken Sky,Caccia del Cielo Infranto,Jagd des zerbrochenen Himmels,Chasse du Ciel Brisé
March of the Rootbound,March of the Rootbound,Marcia dei Radicati,Marsch der Wurzel­gebundenen,Marche des Enracinés
The Last Road,The Last Road,L'Ultima Via,Der Letzte Weg,La Dernière Route
The Lightless Armada,The Lightless Armada,L'Armata Senza Luce,Die lichtlose Armada,L'Armada Sans Lumière
A drowned procession gathering around a bell beneath black water.,A drowned procession gathering around a bell beneath black water.,Una processione di annegati si raduna attorno a una campana sotto acque nere.,"Eine ertrunkene Prozession, die sich um eine Glocke unter schwarzem Wasser versammelt.",Une procession de noyés se rassemblant autour d'une cloche sous des eaux noires.
A false constellation hunts the company across a falling observatory.,A false constellation hunts the company across a falling observatory.,Una falsa costellazione bracca la compagnia attraverso un osservatorio in rovina.,Ein falsches Sternbild jagt die Gesellschaft durch ein stürzendes Observatorium.,Une fausse constellation traque la compagnie à travers un observatoire qui s'effondre.
A forest road carried on the back of a marching grove.,A forest road carried on the back of a marching grove.,Una strada nella foresta trasportata sul dorso di un bosco in marcia.,"Eine Waldstraße, getragen auf dem Rücken eines marschierenden Hains.",Une route forestière portée sur le dos d'un bosquet en marche.
