keys,en,it,de,fr
Weapon,Weapon,Arma,Waffe,Arme
Armor,Armor,Armatura,Rüstung,Armure
Accessory,Accessory,Accessorio,Accessoire,Accessoire
Weapons,Weapons,Armi,Waffen,Armes
Raw Materials,Raw Materials,Materiali grezzi,Rohmaterialien,Matériaux bruts
Rare Materials,Rare Materials,Materiali rari,Seltene Materialien,Matériaux rares
Refined Materials,Refined Materials,Materiali raffinati,Veredelte Materialien,Matériaux raffinés
Raid Items,Raid Items,Oggetti da raid,Raid-Gegenstände,Objets de raid
Accessories,Accessories,Accessori,Accessoires,Accessoires
Construction Bundles,Construction Bundles,Pacchetti da costruzione,Baubündel,Lots de construction
Heavy,Heavy,Pesante,Schwer,Lourde
Light,Light,Leggera,Leicht,Légère
Magic,Magic,Magia,Magie,Magie
Medium,Medium,Media,Mittel,Moyenne
Melee,Melee,Mischia,Nahkampf,Mêlée
Ranged,Ranged,Distanza,Fernkampf,À distance
Unique,Unique,Unico,Einzigartig,Unique
Experience,Experience,Esperienza,Erfahrung,Expérience
Healing,Healing,Cure,Heilung,Soins
Health,Health,Salute,Leben,Vie
Magic and Support,Magic and Support,Magia e supporto,Magie und Unterstützung,Magie et soutien
Martial DPS,Martial DPS,DPS marziale,Kampf-DPS,DPS martial
Tank,Tank,Difensore,Tank,Tank
Attack,Attack,Attacco,Angriff,Attaque
Constitution,Constitution,Costituzione,Konstitution,Constitution
Counter Chance,Counter Chance,Probabilità di contrattacco,Konterchance,Chance de riposte
Critical Chance,Critical Chance,Probabilità critica,Kritische Chance,Chance critique
Critical Damage,Critical Damage,Danno critico,Kritischer Schaden,Dégâts critiques
Decay,Decay,Decadimento,Zerfall,Déclin
Defense,Defense,Difesa,Verteidigung,Défense
Dexterity,Dexterity,Destrezza,Geschicklichkeit,Dextérité
Evade,Evade,Schivata,Ausweichen,Esquive
EXP Rate,EXP Rate,Tasso PE,EXP-Rate,Taux d'EXP
Drop Rate,Drop Rate,Tasso di bottino,Beutechance,Taux de butin
Immunity,Immunity,Immunità,Immunität,Immunité
Intelligence,Intelligence,Intelligenza,Intelligenz,Intelligence
Lifesteal,Lifesteal,Rubavita,Lebensraub,Vol de vie
Magic Defense,Magic Defense,Difesa magica,Magieverteidigung,Défense magique
Max HP,Max HP,PV massimi,Max. LP,PV max
